Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4001",Vehicles,5/06/2019,"102,612,105.00",AUD,LeasePlan Australia Ltd  South Whar,30 Convention Centre Place South Wharf VIC 3006,YES,NO,OPEN,Stand-alone Agreement,Unlimited,"Compliance with the Brief and Scope (10%)
Company overview and support capacity (20%)
Company history, stability and capability (20%)
Experience pertnering Fleet Management services to businesses of similar fleet diversity (50%)

Overall Criteria
Non-Price (65%)
Price (35%)","Management, monitoring and reporting on all vehicles, plant and equipment which are included in the Queensland Rail road fleet.
Note - Contract value consists of Contract Cost for LeasePlan of $1.427M and Passthrough Costs for associated operational expenses related to the fleet (fuel, insurance, registration, maintenance, tolls, tyres) of approximately $101M over the 5 year term.",Not applicable,"The parties will meet periodically in order to discuss the Contractor's performance, to seek improvements in the provision of the Services and to resolve any issues that may arise.",CW2274757,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Electricity,22/04/2019,"45,000,000.00",AUD,CS Energy Limited,PO Box 2227 Fortitude Valley QLD 4006,YES,NO,OPEN,Stand-alone Agreement,Unlimited,As per Queensland Government SOAs GGS 0055-18 and GGS 0056-18 Supply of Electricity to Large Market Sites in the State of Queensland,As per Queensland Government SOAs GGS 0055-18 and GGS 0056-18 Supply of Electricity to Large Market Sites in the State of Queensland,As per Queensland Government SOAs GGS 0055-18 and GGS 0056-18 Supply of Electricity to Large Market Sites in the State of Queensland,As per Queensland Government SOAs GGS 0055-18 and GGS 0056-18 Supply of Electricity to Large Market Sites in the State of Queensland,CW2274633,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,22/01/2018,37904557.1,AUD,BMD Constructions,25 Cambridge Parade Manly QLD 4179,YES,NO,OPEN,Stand-alone Agreement,Unlimited,"Experience of the organisation and nominated design consultant / subcontractors (10%)
Capability and qualifications of the Proposed Team (35%)
Design Development Methodology and Programme (20%)
Construction Methodology and Programme (35%)

Overall Evaluation Criteria Weightings
Total weighted non-price score (40%)
Total weighted price score (60%)",Development of detailed design and associated activities for the Toowoomba Range Clearance Upgrade project,"• Award Main Construction Contract (30/11/17)
• Commence Construction (12/01/18)
• SP 1 Tunnel Lowering Planned Practical Completion (14/09/18)","Contractor Performance will be managed by the Superintendent and Senior Contracts Manager in accordance with the contract. Some of the key mechansims are as per the Contract Management Plan described below.
Within 14 days of award, the Contractor must submit a controlled copy of the completed Contract Management Plan prepared for the Contract. The Contract Management Plan is to include:
(a) A description of the Contractor’s management structure for control of the work under the Contract (including details of responsibilities and authorities and a resources program);
(b) The management of staff, subcontractors and suppliers;
(c) Procedures for the induction and training of all personnel covering as a minimum, work processes, safety (including rail safety), community relations and environmental considerations as required;
(d) Reporting, including to the Principal’s Representative;
(e) Quality Management;
(f) An index of the Contractor’s management procedures and proposed Inspection and Test Plans with associated checklists);
(g) Schedules for the submission of all documents and other deliverables; and
(h) A procurement strategy for subcontract works.",CW2256797,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/12/2012,21138095.95,AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,YES,NO,OPEN,Stand-alone Agreement,Unlimited,"Past similar project experience  (15%)
Capability and turnaround time for the overhaul (10%)
Conformance to QR Scope of Works (45%)
Warranty & NCR handling procedures (10%)
QR system / Documentation and Test Records (10%)
Evidence of past satisfactory performance in overhauling rollingstock traction motors (10%)

Overall Evaluation Criteria Weightings
Total weighted non-price score (70%)
Total weighted price score (30%)","The parties agree the Contractor will, from time to time when requested by Queensland Rail, provide Traction Motors Overhaul Services in accordance with the terms and conditions.",Not applicable,"Invoice Accuracy & Detail Quality
Inspections / Report on work to be carried out
Delivery in Full On Time
Cost Savings",CON-3216,,ATC.935,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",STATION UPGRADES,14/05/2020,19437408,AUD,Hutchinson Builders,584 Milton Road Toowong QLD 4066,NO,NO,CLOSED,Stand-alone Agreement,Unlimited,"Quality of Design Management (10%)
Resourcing of Project Management Team & Depth of Alternate Resources for Key Positions (10%)
Project Appreciation Methodology Constructability (20%)
Program (10%)
Project Risk (5%)
Local Content & Social Procurement (5%)
Price (40%)",Design and Construct East Ipswich Station Accessibility Upgrade,"Close Tender Submission 22/11/19
Appointment of Contractor 29/05/20
Novation of Design 29/05/20
Design Complete & IFC Documents Issued 28/09/20
SEPARABLE PORTION 1 Tue 28/07/20
Commence Works on Site / Commence SP1 (All Carpark & Laydown Areas Available) 28/07/20 
Commence Civil / Bored Piers Not Required in SCAS 21/08/20
New Lift & Stair / Shelter Structures Structrures Erected 7/01/21
Platform 1 Stair & Shelter / Lift Claddings Complete (Excl. Lift Installation) 18/02/21 
Platform 2 Stair & Shelter / Lift Claddings Complete (Excl. Lift Installation) 25/02/21 
SCAS Used for Footbridge Overpass Structure Erection 17/01/21
New Overpass Complete 12/03/21
Handover for Lift Installation (By Others) 3/03/21
Lifts Installed & Complete 19/05/21
New Platform 1 Poured 8/03/21
New Platform 1 Complete 17/06/21
New Platform 2 Poured 8/03/21
New Platform 2 Complete 17/06/21
Ticket Office / CER - Structure Complete 8/12/20
Permanent Power Available 5/01/21
Ticket Office / CER - Complete 19/02/21
Existing Platform Raising Works - Commence 26/11/20
Existing Platform Raising Works - Complete 9/02/21
External Works / Carparks Complete 2/06/21
SP1 Full Testing & Commissioning Complete 2/07/21
Separable Portion 1 Complete 23/07/21
SEPARABLE PORTION 2 27/07/21
Commence Separable Portion 2 Works 27/07/21
SCAS Used for Demolition of Existing Footbridge & Associated Items 22/08/21 
All Main Demo Works Complete 14/09/21
Finishes & Landscaping Complete 22/10/21
SP2 Full Testing & Commissioning Complete 27/10/21
Separable Portion 2 Complete / Project Complete 5/11/21","The Contractor shall carry out and complete the Works Under the Contract in accordance with the Contract and Directions authorised by the Contract.
The Principal shall pay the Contractor:
a) for work for which the Principal accepted a lump sum, the lump sum; and
b) for work for which the Principal accepted rates, the sum of the products ascertained by multiplying the measured quantity of each section or item of work actually carried out under the Contract by the rate accepted by the Principal for the section or item, adjusted by any additions or deductions made pursuant to the Contract",CW2276070,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,2/11/2015,16228496.01,AUD,Entity Solutions Services,150 Lonsdale Street Melbourne VIC 3000,YES,NO,OPEN,Panel Engagement,Unlimited,"Statutory Costs
Administration Costs
Insurances",To mitigate the risks associated with engaging independent contractors and temporary labour hire,Not applicable,Queensland Rail has an established recruitment team which coordinates the sourcing and engagement of nominated independent contractors and temporary labour hire (ie. Contingents) including those sourced direct.  Correspondence between the Recruitment team and the vendor was mainly via email and included the Service Order to provide the detail.,CW2242711,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,19/06/2017,15800910.66,AUD,Data #3 Limited,67 High Street Toowong QLD 4066,NO,NO,CLOSED,Stand-alone Agreement,1,As per SOA ICTSS.13.05,To execute the Microsoft Enterprise Agreement,As per SOA ICTSS.13.05,As per SOA ICTSS.13.05,CW2282692,,ICTSS.13.05,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000", SIGNALLING CONTRACT,15/09/2016,13345172.62,AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,YES,NO,OPEN,Stand-alone Agreement,Unlimited,"Program of Works (20%)
Methodology (30%)
Proposed Team (20%)
Technology (30%)

Overall Evaluation Criteria Weightings
Total weighted non-price score (70%)
Total weighted price score (30%)","• Renewal of the life expired assets in order to maintain safety and on­time running (OTR)
• Implement a turn back facility to reduce 'dead' running and permit services to be routed into Mayne Yard post AM peak","Queensland Rail Milestones:
• Contract Award July 8th 2016
• Requirements AS Plans July 2016
• Design AS Plans August 2016 (following discussion with contractor with respect to axle counter architecture);
• Control Tables January 2017;
• UTC Bit List March 2017;
• Equipment housing pads finalised by July 2017;
• Space allowance provided with Mayne control centre for interlocking by December 2016;
• Main and local cable route finalised by July 2017;
• Signalling Portals will be installed and wired by July 2017;
• Corinda data design (including principle testing and Queensland Rail Approval) shall be complete by October
2017;
• Backbone telecom circuits operational by August 2017
• Free issue axle counter equipment issued 26 weeks from receipt of bill of materials from contractor.

Contractor Milestones:
• Project Management, Quality Management Plan, Engineering Management Plan and Systems Assurance
Management Plan shall be provided 4 weeks after contract award;
• Bonding Plans October 2016
• Project Schedule shall be provided 4 weeks after contract award;
• Signalling scheme plans, main and local cable run diagram to be issued 6 weeks after contract award;
• Axle counter bill of material two weeks after the submission of the signalling scheme plans,
• Auchenflower PER Design (including Queensland Rail PTU) shall be complete by January 2017;
• The type approval of equipment to be completed by June 2017;
• All signalling circuit and interface design (including Queensland Rail PTU) shall be completed by April 2017;
• Indooroopilly and Roma Street data design (including principle testing and Queensland Rail PTU) shall be
complete by October 2017;
• Equipment case and interlocking construction on site to be finalised by October 2017*;
• Testing and Commissioning Strategy (including Cross Boundary) to be PTU by February 2017; and
• Testing and Commissioning Plan to be PTU by June 2017.","Queensland Rail will undertake the following Project management activities:
 The Queensland Rail Project Manager will be the interface with the Corridor Access Unit to
integrate construction activities;
 The Queensland Rail Project Manager will be the interface with Queensland Rail
construction to ensure a collaborative and integrated project delivery;
 Queensland Rail shall review and approve Type Approval submissions of equipment as per
Queensland Rail GSS Type Approval requirement;
 Queensland Rail shall provide source files prior to the start of circuit and data design;
 Queensland Rail will issue all existing vital and non-vital data to the Consultant as required;
 Queensland Rail shall plan and apply for track access according to the Queensland Rail
approved Contractors schedule; and
 Queensland Rail will provide Track Protection officers based on the Contractors tender
return requirements.",CW2238907,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NGR OPERATIONAL READINESS PROGRAM,11/10/2017,13113661,AUD,ABB Australia Pty Ltd,Bapaume Road Moorebank NSW 2170,NO,NO,CLOSED,Stand-alone Agreement,3,"Conformance of Tender (10%)
Experience in the delivery in the Rail environment (10%)
Proposed Installation Method and Sub Contractors (10%)
Technical equipment evaluation (50%)
Innovation (10%)
Program of Works (10%)

Total weighted non-price score (70%)
Total weighted price score (30%)","Traction Power upgrade and renewals required to support the introduction of New Generation Rollingstock (NGR).   
(Mayne, Yeerongpilly, Northgate and Moolabin)","M1 Planning
M2 Procurement of LLI & 25% Design Complete
M3 75% Design Complete
M4 Detailed Design Complete
M5 FAT Complete
M6 SFC Delivery
M7 Installation and SAT Complete
M8 Practical Completion
M9 Commissioning & Acceptance","Practical Completion under this contract is reached at the successful completion of:
• the Feeder Station FIT
• close out of the critical defects
• issuing of the redline mark ups
• issuing a certificate stating the installation is fit and safe to energise
• Cold Commissioning, Hot Commissioning/Energisation & Final Commissioning (including on loads)

As a precondition to Practical Completion being achieved the SFC Contractor must, without limiting any other obligation of the SFC Contractor shall thoroughly check all installations, Equipment, and services to ensure that performance is correct and in order. This includes the following tasks on any building/Equipment deliverables:
o Adjust all moving parts, doors, windows, etc., examine and clear all drains and gutters, ensure all bolts and screws are tight, and test all services are working, to the approval of the Purchaser
o Remove all render, carelessly applied material and other spots on metal sashes, box sections, walls, table type surfaces, cabinets, equipment boxes, service ducts, conduits and other equipment surfaces
o Clean, wash and dry all floor areas and concrete slab areas
o Remove all paint spots from floors and walls, rubbish and building materials from the site area and the cleanliness of all ducts, cupboards, conduits
o Check all cable identifiers, labels, tags, etc.
o Clean out all ducts, cabinets, distribution boards, switchboards, cupboards, etc.
o Provide a certificate stating the installation is fit for service and safe to energise.",CW2284579,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,29/06/2017,9960697.89,AUD,Pensar Civil Pty Ltd,PO Box 3950 South Brisbane BC QLD 4101,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NGR OPERATIONAL READINESS PROGRAM,21/04/2017,9155002,AUD,Abergeldie Constructions Pty Ltd,97 Old Toombul Road Northgate QLD 4013,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,30/05/2018,9000000,AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,26/03/2018,8574998.26,AUD,Motorama City Holden,73 Ipswich Road Woolloongabba QLD 4102,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RSTOCK CONTRACTS,12/07/2016,7548281.63,AUD,Aurizon Network Pty Ltd,PO Box 456 Brisbane QLD 4001,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,3/04/2019,7347633.96,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OHEAD ELECT CONTRACT,21/10/2015,7200095,AUD,Laing ORourke Australia,PO Box 340 Telarah NSW 2320,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLES,30/04/2019,7057698,AUD,Bremer Ford,34 Brisbane Road Ebbw Vale QLD 4304,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,11/02/2016,6901564.9,AUD,ARA Security Services,10 Bridge Road Stanmore NSW 2048,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,19/01/2015,6708128.34,AUD,SJP Access Pty Ltd,50-54 Sanctuary Drive Mount Cotton QLD 4165,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/10/2013,6086392.44,AUD,Railtech Australia Ltd,52 Lysaght Street Acacia Ridge QLD 4110,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLES,26/03/2018,5774625,AUD,Daimler Trucks Brisbane,1699 Ipswich Road Rocklea QLD 4106,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,26/09/2019,5690468,AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,2/05/2018,5619674.39,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,3/04/2019,5523762.73,AUD,SCI Fleet Motors Pty Ltd,59 Kitchener Road Kedron QLD 4031,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,26/08/2014,5438693.32,AUD,Eastern Tree Service,62 Industrial Park Drive Lilydale VIC 3140,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECT WIRE PWR EQUIP,2/06/2015,4747103.15,AUD,Prysmian Power Cables &,Locked Bag 7042 Liverpool BC NSW 1871,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,4500000,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4006",Electricity,21/06/2019,"4,500,000.00",AUD,ERM Power Retail Pty Ltd,PO Box 7152 Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","RAIL PLANT AND EQUIPMENT (HIRE, MAINTENANCE AND PURCHASE)",23/04/2020,4152612,AUD,Lyons Machine Hire Pty Ltd,36382 Bruce Highway Alligator Creek QLD 4816,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TELECOMS/DATA/VOICE,3/04/2020,4118566,AUD,Telstra Corporation Limited,275 George Street Brisbane QLD 4000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,5/01/2015,4114381.14,AUD,Technet Systems Pty Ltd,115 Robinson Road Geebung QLD 4034,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,24/10/2017,3807779.55,AUD,Hutchinson Builders,584 Milton Road Toowong QLD 4066,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,18/09/2014,3768122.11,AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",7/05/2020,3600644,AUD,Decmil Australia Pty Ltd,60 Edward Street Brisbane QLD 4000,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,23/08/2016,3424624.13,AUD,GHD Pty Ltd  Brisbane,201 Charlotte Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,1/03/2017,3373938,AUD,HMA Material Handling,PO Box 999 Brisbane Airport QLD 4007,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2015,3323299.96,AUD,Davidson Recruitment Pty Ltd,344 Queen Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",WELDING CONSUMABLES,13/09/2016,3268047.68,AUD,Thermit Australia Pty Ltd,PO Box 76 Somersby NSW 2250,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2015,3080820.34,AUD,Trojan Recruitment Group Pty Ltd,PO Box P/BAG 9 Glebe NSW 2037,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,16/01/2017,2973064,AUD,HMA Material Handling,PO Box 999 Brisbane Airport QLD 4007,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,18/12/2015,2904190.52,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,1/08/2018,2816463.62,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,13/03/2020,2750000,AUD,Qencom Pty Ltd,71 Eagle Street Brisbane QLD 4000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,3/04/2019,2671446.63,AUD,Motorama City Holden,73 Ipswich Road Woolloongabba QLD 4102,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,29/09/2016,2632447.65,AUD,Gibson Tru Body,10 Mackie Way Brendale QLD 4500,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,10/03/2017,2618884,AUD,Kone Elevators Pty Ltd,PO Box 511 Bowen Hills QLD 4006,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,3/04/2019,2610019.62,AUD,Eagers Holden,143 Newmarket Road Windsor QLD 4030,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","EARTHMOVING PLANT AND EQUIPMENT (HIRE, MAINTENANCE AND PURCHASE)",25/03/2020,2500000,AUD,Townsville Earthmoving Pty Ltd,PO Box 7752 Mount Louisa QLD 4814,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,1/02/2017,2493689.58,AUD,Arcadis Australia Pacific Pty Ltd,141 Walker Street North Sydney NSW 2060,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROJECT MANAGEMENT,21/07/2017,2463640,AUD,SYSTRA Scott Lister Australia Pty L,Chifley Square Sydney NSW 2000,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/08/2018,2408451.83,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/04/2016,2383998.73,AUD,Risk & Safety Consultancy,68 Watervale Parade Wakerley QLD 4154,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,5/01/2015,2359374.33,AUD,Pride Electronic Security Systems,40 Wilson Avenue Woombye QLD 4559,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",UNIFORMS & PPE,31/10/2019,2300000,AUD,Winc Australia Pty Limited,PO Box 346 Richlands QLD 4077,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/06/2015,2284776.6,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,2250000,AUD,ABB Australia Pty Ltd,Bapaume Road Moorebank NSW 2170,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,2250000,AUD,ABB Power Grids Australia Pty Limit,1 Bapaume Road Moorebank QLD 2170,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,20/07/2015,2213926.42,AUD,Microsoft Services,1 Epping Road North Ryde NSW 2113,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,18/10/2016,2121377,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/05/2020,2039642,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER INVENTORY & PARTS,13/05/2020,2000000,AUD,Frauscher Sensor Technology,84 William Street Melbourne VIC 3000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/09/2019,1993523.06,AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OFFICE EQUIPMENT & SUPPLIES,12/03/2020,1950000,AUD,The Buckner Group,71 Basalt Street Geebung QLD 4034,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,5/07/2019,1888123.6,AUD,Madad Investments Pty Ltd,1299 Boundary Road Wacol QLD 4076,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PC PURCHASE,22/06/2015,1821705.2,AUD,Dell Computer Pty Ltd,PO Box 91 Frenchs Forest NSW 2086,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,25/06/2018,1818195,AUD,SAP Australia Pty Ltd,168 Walker Street North Sydney NSW 2060,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,10/08/2017,1719943.88,AUD,Formula Interiors,21 Wellington Road Brisbane QLD 4169,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/07/2015,1700000,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,18/12/2015,1693880.27,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,YES,NO,OPEN,,,,,,,,,,,,
